type produit;numero AMM;nom produit;seconds noms commerciaux;titulaire;type commercial;gamme usage;mentions autorisees;Substances actives;fonctions;formulations;identifiant usage lib court;identifiant usage; date decision;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;dose retenue;dose retenue unite;delai avant recolte jour;delai avant recolte bbch;nombre max d'application;date fin distribution;date fin utilisation;condition emploi;ZNT aquatique (en m);ZNT arthropodes non cibles (en m);ZNT plantes non cibles (en m);mentions autorisees;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12503201;Olivier*Trt Part.Aer.*Maladies des fruits;15/07/2025;10;85;Autorisé;5.0;g/10 m²;14;;4;;;Efficacité montrée sur anthracnose. ;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12503203;Olivier*Trt Part.Aer.*Maladies du feuillage;15/07/2025;10;85;Autorisé;5.0;g/10 m²;14;;4;;;Efficacité montrée sur anthracnose. ;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12553303;Pêcher - Abricotier*Trt Part.Aer.*Bactériose(s);15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12553203;Pêcher - Abricotier*Trt Part.Aer.*Cloque(s);15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12553232;Pêcher - Abricotier*Trt Part.Aer.*Coryneum et polystigma;15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12553233;Pêcher - Abricotier*Trt Part.Aer.*Moniliose(s);15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12653301;Prunier*Trt Part.Aer.*Bactériose(s);15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12653203;Prunier*Trt Part.Aer.*Cloque(s);15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12653206;Prunier*Trt Part.Aer.*Coryneum et polystigma;15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12653204;Prunier*Trt Part.Aer.*Moniliose(s);15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
